Country,Location_name,Region,Latitude,Longitude,Avg_temp,total_rainfall,Avg_humidity,Crop,Season,Average_Yield
India,Ashoknagar,Madhya Pradesh,24.57,77.72,21.64941177,18.9,57,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,21.64941177,18.9,61,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,21.24941177,18.9,47,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,21.29941177,18.9,51,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,21.29941177,18.9,49,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,21.14941177,18.9,49,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,20.84941177,18.9,48,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,20.79941177,18.9,44,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,21.04941177,18.9,42,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,21.19941177,18.9,38,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,20.69941177,18.9,31,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,21.09941177,18.9,37,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,21.04941177,18.9,40,Wheat,Rabi       ,1050
India,Raisen,Madhya Pradesh,23.33,77.8,24.39941177,18.9,70,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,23.14941177,18.9,79,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.29941177,18.9,81,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.64941177,18.9,74,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.89941177,18.9,72,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,23.64941177,18.9,65,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,23.09941177,18.9,73,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,23.34941177,18.9,65,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.64941177,18.9,89,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.64941177,18.9,95,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.54941177,18.9,96,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.79941177,18.9,95,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.49941177,18.9,97,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.29941177,18.9,84,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.14941177,18.9,87,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.29941177,18.9,82,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,23.64941177,18.9,94,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.19941177,18.9,98,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.24941177,18.9,95,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,20.99941177,18.9,96,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,21.24941177,18.9,92,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,21.99941177,18.9,92,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.59941177,18.9,88,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.79941177,18.9,89,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.64941177,18.9,90,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.54941177,18.9,93,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.69941177,18.9,86,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.39941177,18.9,90,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.64941177,18.9,86,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,23.34941177,18.9,81,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.69941177,18.9,72,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.89941177,18.9,74,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,21.64941177,18.9,78,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.24941177,18.9,69,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.14941177,18.9,53,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,21.19941177,18.9,57,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,20.89941177,18.9,72,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,20.99941177,18.9,70,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,21.44941177,18.9,71,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,21.69941177,18.9,72,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,21.84941177,18.9,69,Wheat,Rabi       ,1450
